order_id,order_date,date_id,customer_id,store_id,employee_id,payment_method,order_status,total_revenue,total_cost
ORD0008348,06/01/2024,20240106,CUS00488,2,EMP0035,Fawry,Returned,171,90
ORD0001329,06/01/2024,20240106,CUS02135,1,EMP0011,Cash,Completed,7150,5670
ORD0010145,06/01/2024,20240106,CUS01703,1,EMP0022,  Vodafone Cash  ,Completed,1201,600
ORD0008351,06/01/2024,20240106,CUS01916,4,EMP0079,Vodafone Cash,Completed,80,40
ORD0008402,07/01/2024,20240107,CUS02493,4,EMP0088,Debit Card,Returned,749,350
ORD0008443,07/01/2024,20240107,CUS02434,2,EMP0045,Credit Card,Completed,4880,4900
ORD0005625,07/01/2024,20240107,CUS01160,1,EMP0028,  Fawry  ,Completed,360,200
ORD0005899,07/01/2024,20240107,CUS00081,1,EMP0016,  InstaPay  ,Completed,300,140
ORD0007062,07/01/2024,20240107,CUS02642,1,EMP0023,Debit Card,Completed,1234,610
ORD0009236,07/01/2024,20240107,CUS01095,14,EMP0195,  Vodafone Cash  ,Completed,152,80
ORD0006074,07/01/2024,20240107,CUS00070,5,EMP0095,Vodafone Cash,Completed,3912,2020
ORD0008099,07/01/2024,20240107,CUS00574,9,EMP0146,Credit Card,Returned,963,520
ORD0000213,07/01/2024,20240107,CUS02850,2,EMP0032,Cash,Completed,3162,1590
ORD0007870,07/01/2024,20240107,CUS01576,3,EMP0062,Debit Card,Completed,432,220
ORD0000710,07/01/2024,20240107,CUS00182,14,EMP0202,InstaPay,Completed,800,400
ORD0006788,08/01/2024,20240108,CUS02021,2,EMP0046,InstaPay,Completed,760,390
ORD0000008,08/01/2024,20240108,CUS00599,1,EMP0020,  Vodafone Cash  ,Completed,1710,910
ORD0010508,08/01/2024,20240108,CUS00571,11,EMP0168,Vodafone Cash,Returned,1025,650
ORD0008974,08/01/2024,20240108,CUS02940,6,EMP0119,Fawry,Completed,289,160
ORD0003951,08/01/2024,20240108,CUS00846,10,,Debit Card,Completed,878.5,490
ORD0009662,08/01/2024,20240108,CUS01378,6,EMP0124,Vodafone Cash,Completed,1701,910
ORD0001546,08/01/2024,20240108,CUS01653,11,EMP0171,Fawry,Returned,578,310
ORD0005172,08/01/2024,20240108,CUS00677,11,EMP0167,Fawry,Completed,10608.5,8210
ORD0002929,09/01/2024,20240109,CUS01155,6,EMP0118,  Debit Card  ,Completed,600,280
ORD0005759,09/01/2024,20240109,CUS00138,2,EMP0046,Credit Card,Completed,1080,540
ORD0009366,09/01/2024,20240109,CUS02643,2,EMP0034,Debit Card,Completed,872,480
ORD0008140,09/01/2024,20240109,CUS00331,15,EMP0205,InstaPay,Returned,2310,1210
ORD0010272,09/01/2024,20240109,CUS02772,3,EMP0077,Credit Card,Completed,1131,600
ORD0004806,09/01/2024,20240109,CUS00634,1,EMP0011,Cash,Returned,437,220
ORD0003986,09/01/2024,20240109,CUS01621,3,EMP0064,Cash,Completed,776,390
ORD0008427,09/01/2024,20240109,CUS02908,1,EMP0008,Cash,Completed,30777.5,24540
ORD0001177,09/01/2024,20240109,CUS01745,6,EMP0125,Credit Card,Completed,238,140
ORD0008199,09/01/2024,20240109,CUS02514,5,EMP0112,Fawry,Completed,320,150
ORD0005852,09/01/2024,20240109,CUS01449,4,EMP0084,InstaPay,Completed,10347.5,8260
ORD0010482,09/01/2024,20240109,CUS01609,1,EMP0010,Cash,Completed,496,270
ORD0010768,09/01/2024,20240109,CUS01663,6,EMP0114,Debit Card,Completed,1791,1060
ORD0004901,09/01/2024,20240109,CUS00013,6,EMP0118,Cash,Completed,324,180
ORD0007428,09/01/2024,20240109,CUS00054,11,EMP0173,Vodafone Cash,Completed,210,140
ORD0003719,10/01/2024,20240110,CUS02836,2,EMP0040,Vodafone Cash,Completed,456,220
ORD0011830,10/01/2024,20240110,CUS02452,11,EMP0170,InstaPay,Returned,1962,1000
ORD0010332,10/01/2024,20240110,CUS02475,3,EMP0063,Debit Card,Completed,540,300
ORD0008185,10/01/2024,20240110,CUS00002,7,EMP0132,Cash,Completed,190,90
ORD0004222,10/01/2024,20240110,CUS02120,2,EMP0031,Cash,Completed,180.5,90
ORD0003545,10/01/2024,20240110,CUS01428,5,EMP0098,Fawry,Completed,817,460
ORD0001813,10/01/2024,20240110,CUS00631,1,EMP0020,  Debit Card  ,Cancelled,54087,42690
ORD0007749,10/01/2024,20240110,CUS00936,4,EMP0080,Debit Card,Completed,152,70
ORD0004058,10/01/2024,20240110,CUS02194,2,,Vodafone Cash,Cancelled,1056,500
ORD0007631,10/01/2024,20240110,CUS01059,6,EMP0121,InstaPay,Completed,12849,13160
ORD0000595,11/01/2024,20240111,CUS02946,5,EMP0098,Credit Card,Returned,816,500
ORD0001754,11/01/2024,20240111,CUS02697,5,EMP0098,  InstaPay  ,Completed,270,120
ORD0007578,11/01/2024,20240111,CUS02561,13,EMP0190,Fawry,Completed,370.5,180
ORD0001310,11/01/2024,20240111,CUS01366,10,EMP0155,Debit Card,Completed,2110,1060
ORD0011624,11/01/2024,20240111,CUS00549,12,EMP0174,  Credit Card  ,Completed,1062,580
ORD0007742,11/01/2024,20240111,CUS00048,10,EMP0157,Fawry,Completed,1168.5,700
ORD0011665,11/01/2024,20240111,CUS00588,1,EMP0007,  Vodafone Cash  ,Completed,160,70
ORD0008395,11/01/2024,20240111,CUS00988,10,EMP0161,  Vodafone Cash  ,Completed,580,280
ORD0007430,11/01/2024,20240111,CUS01221,11,EMP0165,Cash,Completed,690,320
ORD0002293,11/01/2024,20240111,CUS00398,1,EMP0001,Vodafone Cash,Completed,23940,21280
ORD0011102,12/01/2024,20240112,CUS02086,9,EMP0149,Cash,Completed,2675,1280
ORD0011210,12/01/2024,20240112,CUS01060,1,EMP0004,  Fawry  ,Completed,162,80
ORD0006642,12/01/2024,20240112,CUS02150,5,EMP0097,Cash,Completed,537,310
ORD0002753,12/01/2024,20240112,CUS00240,1,EMP0012,Cash,Completed,36320,31820
ORD0001554,12/01/2024,20240112,CUS00567,12,EMP0177,Debit Card,Completed,1140,560
ORD0009258,12/01/2024,20240112,CUS00284,6,EMP0119,Cash,Completed,468,260
ORD0007309,12/01/2024,20240112,CUS00006,13,EMP0189,Credit Card,Completed,360,240
ORD0006448,13/01/2024,20240113,CUS02869,9,EMP0146,Fawry,Completed,2762,1380
ORD0009162,13/01/2024,20240113,CUS00030,7,EMP0135,Vodafone Cash,Completed,718,380
ORD0001383,13/01/2024,20240113,CUS02544,6,EMP0125,Cash,Completed,719,440
ORD0001739,13/01/2024,20240113,CUS02886,3,EMP0072,Vodafone Cash,Completed,522,280
ORD0011752,13/01/2024,20240113,CUS00953,2,EMP0047,Cash,Completed,960,500
ORD0000793,13/01/2024,20240113,CUS02267,6,EMP0122,InstaPay,Completed,280,140
ORD0006291,13/01/2024,20240113,CUS02071,5,EMP0099,Debit Card,Completed,1352,730
ORD0002740,13/01/2024,20240113,CUS00538,4,EMP0083,Debit Card,Completed,500,250
ORD0007279,13/01/2024,20240113,CUS02185,3,EMP0069,  Credit Card  ,Cancelled,377.5,220
ORD0009772,13/01/2024,20240113,CUS01994,6,EMP0115,Credit Card,Completed,707,350
ORD0001286,14/01/2024,20240114,CUS02823,6,EMP0120,Cash,Completed,940.5,480
ORD0006798,14/01/2024,20240114,CUS02446,7,EMP0135,Debit Card,Completed,1560,830
ORD0005639,14/01/2024,20240114,CUS02187,6,EMP0126,Vodafone Cash,Completed,2112,1080
ORD0006060,14/01/2024,20240114,CUS01977,2,EMP0036,InstaPay,Completed,2000,1050
ORD0007202,14/01/2024,20240114,CUS00166,2,EMP0054,Vodafone Cash,Returned,1043,530
ORD0010124,14/01/2024,20240114,CUS00796,5,EMP0105,Vodafone Cash,Completed,230,110
ORD0010608,14/01/2024,20240114,CUS00874,8,EMP0142,  Fawry  ,Completed,1056,490
ORD0000141,14/01/2024,20240114,CUS01474,3,EMP0066,Vodafone Cash,Completed,2147,1620
ORD0003263,14/01/2024,20240114,CUS01842,2,EMP0054,Debit Card,Cancelled,350,170
ORD0008312,14/01/2024,20240114,CUS01831,5,EMP0106,Cash,Completed,815.5,430
ORD0003461,14/01/2024,20240114,CUS02190,2,EMP0033,  Cash  ,Completed,6980,5280
ORD0010661,14/01/2024,20240114,CUS02024,10,EMP0156,Vodafone Cash,Completed,49313,48620
ORD0008141,14/01/2024,20240114,CUS00019,10,EMP0159,Vodafone Cash,Cancelled,1963,940
ORD0005451,14/01/2024,20240114,CUS00183,8,EMP0143,Fawry,Completed,1968,1080
ORD0002913,14/01/2024,20240114,CUS02274,8,EMP0138,Debit Card,Completed,171,90
ORD0009849,15/01/2024,20240115,CUS02634,1,EMP0008,Vodafone Cash,Completed,11880,10500
ORD0007833,15/01/2024,20240115,CUS00615,3,EMP0059,Credit Card,Completed,6136,4560
ORD0003955,15/01/2024,20240115,CUS02842,11,EMP0171,Cash,Completed,16390,12370
ORD0002082,15/01/2024,20240115,CUS00692,1,EMP0003,Credit Card,Completed,234,130
ORD0006514,15/01/2024,20240115,CUS00112,8,EMP0142,  Vodafone Cash  ,Completed,14064,11010
ORD0001420,15/01/2024,20240115,CUS01353,2,EMP0032,Debit Card,Completed,9440,9400
ORD0000075,15/01/2024,20240115,CUS00806,6,EMP0126,InstaPay,Completed,140,70
ORD0008813,15/01/2024,20240115,CUS02049,2,EMP0040,  Cash  ,Completed,135,70
ORD0007357,15/01/2024,20240115,CUS02322,10,EMP0161,  InstaPay  ,Completed,171,80
ORD0005231,15/01/2024,20240115,CUS01805,2,EMP0030,Debit Card,Completed,1840,1280
ORD0009181,15/01/2024,20240115,CUS02579,3,EMP0068,  Vodafone Cash  ,Cancelled,1962,1250
ORD0011141,15/01/2024,20240115,CUS02742,3,EMP0070,InstaPay,Completed,484.5,240
ORD0002407,15/01/2024,20240115,CUS00937,14,EMP0194,Vodafone Cash,Completed,1216,600
ORD0005797,15/01/2024,20240115,CUS02238,1,EMP0007,Fawry,Completed,17519.5,13640
ORD0011831,15/01/2024,20240115,CUS02339,4,EMP0081,Debit Card,Completed,100,40
ORD0001829,15/01/2024,20240115,CUS02888,3,EMP0059,Vodafone Cash,Completed,2158,1100
ORD0009747,16/01/2024,20240116,CUS02179,1,EMP0006,Vodafone Cash,Completed,450,300
ORD0008338,16/01/2024,20240116,CUS01651,2,EMP0034,Cash,Completed,1140,600
ORD0010188,16/01/2024,20240116,CUS00093,14,EMP0197,  Cash  ,Completed,4239,3560
ORD0001510,16/01/2024,20240116,CUS02347,14,EMP0201,Fawry,Completed,1698,1110
ORD0007836,16/01/2024,20240116,CUS01098,14,EMP0202,Debit Card,Completed,991.5,520
ORD0004979,16/01/2024,20240116,CUS02468,9,EMP0151,Vodafone Cash,Completed,230,110
ORD0001006,16/01/2024,20240116,CUS00502,3,EMP0067,Credit Card,Completed,450,210
ORD0007312,16/01/2024,20240116,CUS00565,3,EMP0072,  Debit Card  ,Completed,807,430
ORD0000957,16/01/2024,20240116,CUS01105,13,EMP0186,  Cash  ,Returned,432,210
ORD0000943,16/01/2024,20240116,CUS02799,1,EMP0025,Debit Card,Completed,332.5,160
ORD0005223,16/01/2024,20240116,CUS00287,1,EMP0012,  Vodafone Cash  ,Returned,592,360
ORD0008198,17/01/2024,20240117,CUS01940,3,EMP0067,InstaPay,Completed,843,410
ORD0002248,17/01/2024,20240117,CUS02878,12,EMP0174,  Cash  ,Completed,537.5,270
ORD0008723,17/01/2024,20240117,CUS02392,5,EMP0099,Cash,Completed,425,240
ORD0004194,17/01/2024,20240117,CUS01510,2,EMP0048,Cash,Returned,21288,21750
ORD0011402,17/01/2024,20240117,CUS01629,4,EMP0090,Debit Card,Completed,10100,8100
ORD0003486,17/01/2024,20240117,CUS00710,5,EMP0112,Debit Card,Completed,1400,640
ORD0010919,17/01/2024,20240117,CUS02544,13,EMP0185,  Credit Card  ,Completed,1007,530
ORD0002496,17/01/2024,20240117,CUS01693,3,EMP0060,Fawry,Completed,41980,39450
ORD0003393,17/01/2024,20240117,CUS01567,10,,  InstaPay  ,Completed,1885,1050
ORD0002500,17/01/2024,20240117,CUS02075,7,EMP0133,Credit Card,Completed,12200,9800
ORD0000364,17/01/2024,20240117,CUS02981,2,EMP0035,InstaPay,Completed,655,350
ORD0011872,17/01/2024,20240117,CUS00171,4,EMP0092,  InstaPay  ,Cancelled,430,210
ORD0008233,17/01/2024,20240117,CUS00423,1,EMP0005,Cash,Completed,207,110
ORD0004902,17/01/2024,20240117,CUS02063,2,EMP0033,  Cash  ,Completed,210,100
ORD0004118,17/01/2024,20240117,CUS00370,1,EMP0024,  Credit Card  ,Completed,1037,520
ORD0000934,17/01/2024,20240117,CUS02784,2,EMP0044,Fawry,Completed,27900,29800
ORD0004458,18/01/2024,20240118,CUS02638,4,EMP0092,Credit Card,Completed,931,480
ORD0009818,18/01/2024,20240118,CUS00603,14,EMP0202,Debit Card,Completed,799,470
ORD0005855,18/01/2024,20240118,CUS02181,5,EMP0107,Cash,Completed,22368,18440
ORD0006496,18/01/2024,20240118,CUS00683,4,EMP0084,Credit Card,Completed,297,160
ORD0002888,18/01/2024,20240118,CUS01021,13,EMP0188,Credit Card,Completed,10640,9000
ORD0009901,18/01/2024,20240118,CUS00371,12,EMP0184,Cash,Completed,772,370
ORD0005127,18/01/2024,20240118,CUS00526,1,EMP0006,Debit Card,Completed,3070,1580
ORD0007444,18/01/2024,20240118,CUS00487,15,EMP0205,  Debit Card  ,Completed,714,400
ORD0010450,18/01/2024,20240118,CUS02987,2,EMP0045,  Fawry  ,Completed,980,500
ORD0008655,18/01/2024,20240118,CUS01155,12,EMP0182,Fawry,Completed,27010,26520
ORD0003042,19/01/2024,20240119,CUS02772,1,EMP0019,Fawry,Completed,607.5,390
ORD0002832,19/01/2024,20240119,CUS00370,4,EMP0084,InstaPay,Returned,1581,900
ORD0011700,19/01/2024,20240119,CUS00004,7,EMP0133,InstaPay,Completed,15832.5,12820
ORD0002784,19/01/2024,20240119,CUS01152,1,EMP0025,Debit Card,Returned,140,70
ORD0009592,19/01/2024,20240119,CUS02666,7,EMP0129,  Credit Card  ,Returned,2131,1170
ORD0002176,19/01/2024,20240119,CUS02914,11,EMP0172,Fawry,Completed,3409.5,1970
ORD0011255,19/01/2024,20240119,CUS00238,11,EMP0168,InstaPay,Completed,456,240
ORD0002775,19/01/2024,20240119,CUS01589,1,EMP0018,Vodafone Cash,Completed,854,440
ORD0004239,19/01/2024,20240119,CUS01018,7,EMP0128,  Vodafone Cash  ,Completed,297.5,170
ORD0010693,19/01/2024,20240119,CUS00139,10,,  Credit Card  ,Returned,368.5,200
ORD0006896,19/01/2024,20240119,CUS01277,1,EMP0018,Cash,Cancelled,13200,10500
ORD0007190,19/01/2024,20240119,CUS02717,1,EMP0027,Debit Card,Completed,855,440
ORD0011399,19/01/2024,20240119,CUS00729,10,EMP0152,Vodafone Cash,Completed,1890,910
ORD0008808,19/01/2024,20240119,CUS02977,1,EMP0001,Fawry,Completed,225,100
ORD0002245,19/01/2024,20240119,CUS01246,9,EMP0147,Credit Card,Returned,1876,1030
ORD0006273,20/01/2024,20240120,CUS02925,7,EMP0135,InstaPay,Completed,970.5,490
ORD0006869,20/01/2024,20240120,CUS02719,13,EMP0188,Credit Card,Completed,220,110
ORD0008071,20/01/2024,20240120,CUS02309,3,EMP0078,Vodafone Cash,Completed,425,240
ORD0005788,20/01/2024,20240120,CUS00789,9,EMP0149,Fawry,Completed,450,240
ORD0004871,21/01/2024,20240121,CUS02558,11,EMP0169,Credit Card,Cancelled,171,90
ORD0011254,21/01/2024,20240121,CUS01662,11,EMP0166,InstaPay,Completed,184,110
ORD0000440,21/01/2024,20240121,CUS01598,13,EMP0189,Debit Card,Completed,351.5,180
ORD0005775,21/01/2024,20240121,CUS01523,14,EMP0198,Cash,Completed,29214,25040
ORD0009077,21/01/2024,20240121,CUS01853,2,EMP0035,InstaPay,Completed,14024.5,11070
ORD0005310,21/01/2024,20240121,CUS00679,5,EMP0106,Vodafone Cash,Completed,540,270
ORD0007676,21/01/2024,20240121,CUS02448,10,EMP0158,Fawry,Completed,511.5,260
ORD0002931,21/01/2024,20240121,CUS00499,1,EMP0019,  Vodafone Cash  ,Returned,1180,590
ORD0010581,21/01/2024,20240121,CUS02924,2,EMP0044,  Credit Card  ,Completed,480,240
ORD0009353,21/01/2024,20240121,CUS00493,2,EMP0042,Cash,Completed,1098,600
ORD0007435,21/01/2024,20240121,CUS00666,13,EMP0188,Fawry,Completed,16175,14770
ORD0001730,21/01/2024,20240121,CUS01798,2,,Fawry,Completed,573,300
ORD0006118,21/01/2024,20240121,CUS01093,15,EMP0209,Debit Card,Completed,3528.5,1900
ORD0009589,22/01/2024,20240122,CUS00090,14,EMP0203,InstaPay,Completed,765,420
ORD0001508,22/01/2024,20240122,CUS01216,1,,Fawry,Completed,1748.5,950
ORD0004827,22/01/2024,20240122,CUS02221,14,EMP0200,InstaPay,Completed,13515,12700
ORD0001160,22/01/2024,20240122,CUS01680,6,EMP0124,Cash,Cancelled,864,480
ORD0007009,22/01/2024,20240122,CUS01714,10,EMP0162,Vodafone Cash,Returned,1004,510
ORD0005348,22/01/2024,20240122,CUS02587,1,EMP0009,  Vodafone Cash  ,Completed,240,110
ORD0007173,22/01/2024,20240122,CUS02526,5,EMP0106,Debit Card,Completed,640,280
ORD0005662,22/01/2024,20240122,CUS01667,4,EMP0084,Debit Card,Completed,1461,720
ORD0006776,22/01/2024,20240122,CUS00705,4,EMP0087,InstaPay,Completed,2221.5,1200
ORD0004486,23/01/2024,20240123,CUS00440,8,EMP0144,Debit Card,Completed,3000,1540
ORD0005945,23/01/2024,20240123,CUS02104,3,EMP0063,Cash,Completed,1936.5,1030
ORD0005881,23/01/2024,20240123,CUS01308,6,EMP0124,InstaPay,Completed,863,430
ORD0008015,23/01/2024,20240123,CUS00014,12,EMP0181,Vodafone Cash,Completed,1569,830
ORD0004491,23/01/2024,20240123,CUS00594,1,EMP0004,Vodafone Cash,Completed,127.5,70
ORD0003754,23/01/2024,20240123,CUS02302,1,EMP0024,Credit Card,Completed,199.5,100
ORD0009075,23/01/2024,20240123,CUS01836,4,EMP0091,Debit Card,Completed,261,140
ORD0000233,24/01/2024,20240124,CUS00085,2,EMP0029,Fawry,Returned,616,400
ORD0001303,24/01/2024,20240124,CUS01979,10,EMP0162,  Credit Card  ,Completed,1857,1030
ORD0009867,24/01/2024,20240124,CUS01918,3,EMP0059,Debit Card,Completed,538,270
ORD0001662,24/01/2024,20240124,CUS02428,6,,Vodafone Cash,Completed,701.5,350
ORD0009108,24/01/2024,20240124,CUS01590,3,,InstaPay,Completed,832,420
ORD0001507,24/01/2024,20240124,CUS00586,9,EMP0148,Debit Card,Completed,592.5,280
ORD0009723,24/01/2024,20240124,CUS01598,13,EMP0191,Debit Card,Completed,13344,10620
ORD0001313,24/01/2024,20240124,CUS01936,1,EMP0015,Cash,Completed,1150,550
ORD0002930,24/01/2024,20240124,CUS00375,13,EMP0187,Debit Card,Completed,957,560
ORD0005570,24/01/2024,20240124,CUS02811,3,EMP0076,Credit Card,Completed,15144,12070
ORD0004115,24/01/2024,20240124,CUS01438,5,EMP0108,Credit Card,Completed,622,320
ORD0008336,24/01/2024,20240124,CUS02675,6,EMP0126,  Fawry  ,Completed,1995.5,1020
ORD0003781,24/01/2024,20240124,CUS00918,3,EMP0071,Cash,Completed,230,110
ORD0006478,25/01/2024,20240125,CUS01724,12,EMP0179,Cash,Completed,180,100
ORD0004031,25/01/2024,20240125,CUS01815,7,EMP0129,InstaPay,Completed,652.5,360
ORD0001044,26/01/2024,20240126,CUS00646,6,EMP0121,  Vodafone Cash  ,Completed,859,450
ORD0002579,26/01/2024,20240126,CUS01548,13,EMP0189,Debit Card,Completed,30162,31770
ORD0011904,26/01/2024,20240126,CUS00452,2,EMP0032,Cash,Completed,2545,1810
ORD0011427,26/01/2024,20240126,CUS00588,8,EMP0144,  Vodafone Cash  ,Completed,1223.5,640
ORD0005249,26/01/2024,20240126,CUS02392,13,EMP0189,Fawry,Completed,1872,1000
ORD0010243,26/01/2024,20240126,CUS01054,2,EMP0046,InstaPay,Returned,126,70
ORD0008781,26/01/2024,20240126,CUS02339,3,EMP0072,InstaPay,Completed,1777,970
ORD0011720,26/01/2024,20240126,CUS02394,3,EMP0064,Cash,Completed,540,260
ORD0003211,26/01/2024,20240126,CUS01302,5,EMP0103,Cash,Completed,648,360
ORD0007902,27/01/2024,20240127,CUS01869,6,EMP0119,Credit Card,Returned,55146,43260
ORD0010361,27/01/2024,20240127,CUS02797,2,,Vodafone Cash,Completed,440,200
