return_id,order_id,return_date,return_reason,return_amount,refund_method,return_status
RET00050,ORD0000411,01/10/2023,Defective Product,1664,Fawry,Refunded
RET00051,ORD0000412,23/06/2022,Size Issue,895,Credit Card,Refunded
RET00052,ORD0000417,17/12/2022,Defective Product,952,InstaPay,Rejected
RET00053,ORD0000444,23/08/2024,Changed Mind,150,Fawry,Refunded
RET00054,ORD0000454,15/06/2022,Changed Mind,1230,InstaPay,Refunded
RET00055,ORD0000463,27/01/2022,Duplicate Order,570,InstaPay,Refunded
RET00056,ORD0000501,24/09/2022,Duplicate Order,1992,Cash,Rejected
RET00057,ORD0000506,15/08/2023,Duplicate Order,10738,Vodafone Cash,Refunded
RET00058,ORD0000512,03/01/2023,Wrong Item Delivered,2059,Cash,Pending
RET00059,ORD0000514,16/02/2022,Quality Issue,54634,InstaPay,Refunded
RET00060,ORD0000518,06/12/2024,Defective Product,12800,Credit Card,Refunded
RET00061,ORD0000523,11/02/2022,Duplicate Order,2692,Fawry,Refunded
RET00062,ORD0000550,09/01/2023,Wrong Item Delivered,12420,InstaPay,Pending
RET00063,ORD0000555,11/11/2024,Defective Product,1114.5,Cash,Refunded
RET00064,ORD0000559,17/03/2024,Wrong Item Delivered,525.5,Vodafone Cash,Refunded
RET00065,ORD0000566,26/04/2022,Quality Issue,2090,Credit Card,Refunded
RET00066,ORD0000573,18/07/2024,Duplicate Order,280,InstaPay,Refunded
RET00067,ORD0000595,24/01/2024,Defective Product,816,Credit Card,Pending
RET00068,ORD0000602,18/12/2023,Size Issue,584,Vodafone Cash,Refunded
RET00069,ORD0000643,22/05/2022,Duplicate Order,24649,Vodafone Cash,Refunded
RET00070,ORD0000664,27/07/2023,Duplicate Order,1860,Debit Card,Refunded
RET00071,ORD0000669,16/05/2022,Duplicate Order,80,Debit Card,Refunded
RET00072,ORD0000673,18/02/2022,Defective Product,1290,Credit Card,Refunded
RET00073,ORD0000686,21/07/2023,Duplicate Order,170,Fawry,Refunded
RET00074,ORD0000695,23/12/2024,Defective Product,142.5,Cash,Refunded
RET00075,ORD0000696,21/01/2022,Size Issue,816,Fawry,Refunded
RET00076,ORD0000706,14/04/2024,Duplicate Order,10560,Debit Card,Pending
RET00077,ORD0000709,13/07/2023,Size Issue,730,Credit Card,Refunded
RET00078,ORD0000724,05/02/2023,Duplicate Order,1318.5,Cash,Refunded
RET00079,ORD0000739,09/12/2023,Duplicate Order,240,Credit Card,Refunded
RET00080,ORD0000752,22/10/2024,Wrong Item Delivered,972,InstaPay,Pending
RET00081,ORD0000758,07/12/2023,Defective Product,540,Fawry,Refunded
RET00082,ORD0000767,11/05/2022,Duplicate Order,288,Cash,Rejected
RET00083,ORD0000776,15/08/2023,Changed Mind,470,Vodafone Cash,Refunded
RET00084,ORD0000787,24/11/2023,Size Issue,1364,Debit Card,Refunded
RET00085,ORD0000792,06/01/2023,Size Issue,603.5,Credit Card,Pending
RET00086,ORD0000811,15/10/2022,Quality Issue,6925,Fawry,Refunded
RET00087,ORD0000819,10/03/2023,Size Issue,2234.5,Cash,Refunded
RET00088,ORD0000832,02/08/2022,Defective Product,336,Cash,Refunded
RET00089,ORD0000838,26/10/2024,Duplicate Order,1272.5,Fawry,Rejected
RET00090,ORD0000844,28/01/2023,Defective Product,440,Vodafone Cash,Refunded
RET00091,ORD0000847,29/05/2022,Quality Issue,702,Cash,Rejected
RET00092,ORD0000848,11/08/2022,Duplicate Order,1672,Cash,Refunded
RET00093,ORD0000852,22/12/2022,Quality Issue,162,Fawry,Refunded
RET00094,ORD0000854,13/03/2022,Defective Product,4731.5,InstaPay,Refunded
RET00095,ORD0000860,13/07/2023,Wrong Item Delivered,360,Fawry,Refunded
RET00096,ORD0000875,15/04/2023,Duplicate Order,664,Fawry,Pending
RET00097,ORD0000903,21/11/2023,Wrong Item Delivered,270,Cash,Refunded
RET00098,ORD0000936,10/08/2023,Wrong Item Delivered,13180,Credit Card,Rejected
RET00099,ORD0000957,25/01/2024,Wrong Item Delivered,432,Cash,Refunded
RET00100,ORD0000976,04/05/2023,Changed Mind,10200,Vodafone Cash,Pending
RET00101,ORD0000998,14/08/2022,Defective Product,2082,Debit Card,Refunded
RET00102,ORD0001018,02/09/2024,Changed Mind,1112,InstaPay,Refunded
RET00103,ORD0001020,07/10/2023,Duplicate Order,243,Fawry,Pending
RET00104,ORD0001021,17/05/2023,Defective Product,2360,Cash,Refunded
RET00105,ORD0001025,25/04/2024,Wrong Item Delivered,2114,InstaPay,Rejected
RET00106,ORD0001036,29/01/2023,Size Issue,2314,Credit Card,Refunded
RET00107,ORD0001078,19/08/2023,Changed Mind,572.5,Credit Card,Refunded
RET00108,ORD0001081,25/12/2022,Size Issue,2994,Debit Card,Refunded
RET00109,ORD0001089,22/09/2022,Wrong Item Delivered,1032,Debit Card,Refunded
RET00110,ORD0001106,04/04/2024,Size Issue,28760,Credit Card,Rejected
RET00111,ORD0001109,10/02/2022,Size Issue,776,Debit Card,Rejected
RET00112,ORD0001110,24/03/2023,Changed Mind,580,Fawry,Refunded
RET00113,ORD0001132,10/06/2024,Wrong Item Delivered,957,Fawry,Pending
RET00114,ORD0001152,09/03/2023,Quality Issue,683,Debit Card,Refunded
RET00115,ORD0001168,18/04/2023,Quality Issue,582,InstaPay,Refunded
RET00116,ORD0001170,29/06/2022,Quality Issue,19272,Credit Card,Refunded
RET00117,ORD0001171,03/11/2023,Duplicate Order,450.5,InstaPay,Refunded
RET00118,ORD0001185,08/03/2023,Duplicate Order,160,Fawry,Refunded
RET00119,ORD0001191,14/05/2022,Defective Product,180.5,InstaPay,Refunded
RET00120,ORD0001212,26/07/2022,Size Issue,360,Cash,Refunded
RET00121,ORD0001213,20/11/2022,Quality Issue,880,Fawry,Refunded
RET00122,ORD0001214,24/09/2024,Duplicate Order,1380,Debit Card,Refunded
RET00123,ORD0001219,13/01/2024,Duplicate Order,627,Cash,Pending
RET00124,ORD0001220,24/07/2023,Size Issue,2431.5,Debit Card,Refunded
RET00125,ORD0001232,24/02/2023,Duplicate Order,2829,Vodafone Cash,Refunded
RET00126,ORD0001236,31/12/2022,Changed Mind,270,Credit Card,Pending
RET00127,ORD0001255,08/11/2023,Size Issue,6502,Cash,Refunded
RET00128,ORD0001276,05/09/2022,Size Issue,540,Debit Card,Refunded
RET00129,ORD0001280,06/05/2023,Duplicate Order,515,Debit Card,Refunded
RET00130,ORD0001287,24/04/2022,Duplicate Order,10240,Credit Card,Rejected
RET00131,ORD0001331,28/07/2024,Size Issue,456,Vodafone Cash,Refunded
RET00132,ORD0001336,26/07/2022,Duplicate Order,432,Fawry,Refunded
RET00133,ORD0001351,09/09/2022,Duplicate Order,12155,Fawry,Refunded
RET00134,ORD0001356,18/12/2023,Duplicate Order,504,InstaPay,Pending
RET00135,ORD0001374,12/09/2023,Defective Product,2140,Cash,Refunded
RET00136,ORD0001376,14/11/2022,Size Issue,3040,InstaPay,Refunded
RET00137,ORD0001401,13/04/2023,Quality Issue,266,Vodafone Cash,Refunded
RET00138,ORD0001403,14/10/2024,Wrong Item Delivered,504,InstaPay,Refunded
RET00139,ORD0001407,03/03/2022,Duplicate Order,270,Credit Card,Refunded
RET00140,ORD0001408,17/01/2022,Duplicate Order,243,Credit Card,Refunded
RET00141,ORD0001421,31/03/2023,Size Issue,1038,Credit Card,Refunded
RET00142,ORD0001430,06/04/2023,Changed Mind,2996,Vodafone Cash,Refunded
RET00143,ORD0001448,01/09/2024,Wrong Item Delivered,551,Cash,Refunded
RET00144,ORD0001449,28/10/2022,Changed Mind,1000,Fawry,Refunded
RET00145,ORD0001459,06/06/2024,Size Issue,1200,Credit Card,Refunded
RET00146,ORD0001461,30/07/2024,Changed Mind,15494,Fawry,Refunded
RET00147,ORD0001467,23/05/2024,Defective Product,280,Fawry,Refunded
RET00148,ORD0001470,22/02/2022,Size Issue,2857,InstaPay,Refunded
RET00149,ORD0001494,18/12/2022,Quality Issue,700,Cash,Refunded
RET00150,ORD0001499,14/12/2022,Duplicate Order,252,Credit Card,Refunded
RET00151,ORD0001502,07/05/2023,Changed Mind,26660,Vodafone Cash,Refunded
RET00152,ORD0001503,03/07/2022,Changed Mind,199.5,Debit Card,Refunded
RET00153,ORD0001504,03/09/2023,Quality Issue,3980,Vodafone Cash,Pending
RET00154,ORD0001520,03/03/2022,Duplicate Order,1030,Debit Card,Refunded
RET00155,ORD0001523,11/10/2022,Wrong Item Delivered,272,Debit Card,Refunded
RET00156,ORD0001524,03/02/2022,Size Issue,1230,Fawry,Refunded
RET00157,ORD0001546,12/01/2024,Quality Issue,578,Fawry,Refunded
RET00158,ORD0001594,19/11/2022,Wrong Item Delivered,807,Cash,Refunded
RET00159,ORD0001612,03/01/2024,Wrong Item Delivered,530,Fawry,Rejected
RET00160,ORD0001613,04/05/2023,Size Issue,714,Debit Card,Refunded
RET00161,ORD0001615,06/05/2024,Wrong Item Delivered,612,Cash,Pending
RET00162,ORD0001633,03/10/2024,Quality Issue,2235,Cash,Refunded
RET00163,ORD0001634,18/04/2024,Duplicate Order,822,Credit Card,Pending
RET00164,ORD0001647,14/05/2024,Wrong Item Delivered,3220,Debit Card,Refunded
RET00165,ORD0001649,24/07/2024,Duplicate Order,14775,Fawry,Pending
RET00166,ORD0001652,31/10/2023,Duplicate Order,370,Credit Card,Pending
RET00167,ORD0001653,05/08/2022,Wrong Item Delivered,1532,Cash,Refunded
RET00168,ORD0001673,03/10/2022,Defective Product,610,Fawry,Refunded
RET00169,ORD0001691,18/07/2023,Wrong Item Delivered,4222,Vodafone Cash,Refunded
RET00170,ORD0001698,27/09/2024,Duplicate Order,2340,InstaPay,Refunded
RET00171,ORD0001712,31/10/2023,Quality Issue,10900,Fawry,Refunded
RET00172,ORD0001729,16/12/2023,Changed Mind,966,Cash,Refunded
RET00173,ORD0001732,10/10/2024,Duplicate Order,520,InstaPay,Pending
RET00174,ORD0001735,11/05/2022,Quality Issue,144,InstaPay,Refunded
RET00175,ORD0001744,01/03/2024,Size Issue,3148,Credit Card,Pending
RET00176,ORD0001745,19/06/2023,Size Issue,142.5,InstaPay,Pending
RET00177,ORD0001752,18/09/2023,Duplicate Order,15029,Vodafone Cash,Refunded
RET00178,ORD0001779,12/04/2024,Size Issue,105,Debit Card,Pending
RET00179,ORD0001788,24/01/2022,Wrong Item Delivered,1664,Vodafone Cash,Refunded
RET00180,ORD0001792,07/11/2024,Duplicate Order,1167,Cash,Refunded
RET00181,ORD0001795,26/04/2024,Duplicate Order,1965.5,Cash,Rejected
RET00182,ORD0001801,27/04/2022,Changed Mind,9960,InstaPay,Refunded
RET00183,ORD0001825,30/03/2022,Defective Product,3980,Vodafone Cash,Pending
RET00184,ORD0001831,01/12/2022,Duplicate Order,675,Cash,Refunded
RET00185,ORD0001838,03/11/2024,Changed Mind,1860,Vodafone Cash,Refunded
RET00186,ORD0001850,06/12/2023,Changed Mind,1175,Vodafone Cash,Refunded
RET00187,ORD0001855,20/09/2023,Size Issue,504,Credit Card,Refunded
RET00188,ORD0001856,01/12/2022,Defective Product,140,Debit Card,Pending
RET00189,ORD0001861,14/09/2024,Quality Issue,2500,Credit Card,Refunded
RET00190,ORD0001873,29/12/2022,Changed Mind,160,Debit Card,Refunded
RET00191,ORD0001888,26/08/2022,Quality Issue,440,Cash,Pending
RET00192,ORD0001906,22/04/2022,Changed Mind,345,Credit Card,Refunded
RET00193,ORD0001908,03/07/2023,Wrong Item Delivered,336,Vodafone Cash,Refunded
RET00194,ORD0001909,03/07/2024,Defective Product,350,InstaPay,Pending
RET00195,ORD0001921,09/11/2024,Defective Product,460,Cash,Refunded
RET00196,ORD0001922,16/07/2024,Wrong Item Delivered,1000,Debit Card,Refunded
RET00197,ORD0001923,09/01/2022,Duplicate Order,2199.5,Debit Card,Rejected
RET00198,ORD0001932,13/04/2024,Quality Issue,306,InstaPay,Pending
RET00199,ORD0001956,06/01/2024,Duplicate Order,142.5,Vodafone Cash,Refunded
RET00200,ORD0001962,14/05/2023,Size Issue,357,Fawry,Refunded
RET00201,ORD0001981,12/08/2023,Size Issue,1560,Credit Card,Refunded
RET00202,ORD0001986,12/05/2024,Defective Product,342,InstaPay,Refunded
RET00203,ORD0001990,14/09/2023,Defective Product,247,Vodafone Cash,Refunded
RET00204,ORD0001991,14/05/2023,Duplicate Order,4178,Cash,Refunded
RET00205,ORD0001995,06/11/2022,Duplicate Order,545.5,Vodafone Cash,Refunded
RET00206,ORD0002031,03/10/2024,Duplicate Order,1150,Cash,Pending
RET00207,ORD0002049,22/05/2023,Quality Issue,779,Credit Card,Refunded
RET00208,ORD0002050,19/11/2024,Defective Product,1498,Vodafone Cash,Refunded
RET00209,ORD0002095,30/11/2022,Duplicate Order,550,Debit Card,Refunded
RET00210,ORD0002103,13/06/2024,Duplicate Order,40500,Debit Card,Refunded
RET00211,ORD0002105,13/01/2023,Duplicate Order,135,Debit Card,Refunded
RET00212,ORD0002124,09/10/2023,Duplicate Order,2055,InstaPay,Refunded
RET00213,ORD0002156,17/05/2024,Changed Mind,828,Credit Card,Refunded
RET00214,ORD0002164,03/02/2022,Size Issue,2598,Fawry,Refunded
RET00215,ORD0002185,12/03/2024,Quality Issue,207,Vodafone Cash,Refunded
RET00216,ORD0002191,24/11/2024,Quality Issue,735,Credit Card,Refunded
RET00217,ORD0002198,05/12/2024,Defective Product,95,Cash,Refunded
RET00218,ORD0002200,13/01/2023,Changed Mind,126,Cash,Pending
RET00219,ORD0002237,24/02/2024,Changed Mind,288,Vodafone Cash,Refunded
RET00220,ORD0002239,08/02/2023,Defective Product,1080,Cash,Refunded
RET00221,ORD0002244,07/03/2023,Defective Product,1230,Vodafone Cash,Refunded
RET00222,ORD0002245,21/01/2024,Size Issue,1876,Credit Card,Refunded
RET00223,ORD0002256,09/09/2022,Size Issue,2228,Credit Card,Refunded
RET00224,ORD0002269,05/10/2022,Size Issue,540,Credit Card,Refunded
RET00225,ORD0002270,13/05/2022,Wrong Item Delivered,18024,Cash,Refunded
RET00226,ORD0002276,25/02/2024,Size Issue,2415.5,Fawry,Refunded
RET00227,ORD0002313,16/06/2024,Duplicate Order,247,Credit Card,Refunded
RET00228,ORD0002336,04/10/2022,Defective Product,2130,InstaPay,Pending
RET00229,ORD0002348,26/05/2022,Size Issue,1350,Fawry,Refunded
RET00230,ORD0002358,20/03/2023,Quality Issue,7356,Vodafone Cash,Refunded
RET00231,ORD0002366,20/04/2022,Duplicate Order,560,Cash,Refunded
RET00232,ORD0002384,16/07/2022,Wrong Item Delivered,220,Debit Card,Refunded
RET00233,ORD0002406,06/10/2022,Size Issue,606,Fawry,Refunded
RET00234,ORD0002410,15/02/2023,Defective Product,1500,Credit Card,Refunded
RET00235,ORD0002428,04/06/2024,Duplicate Order,1627,Credit Card,Refunded
RET00236,ORD0002430,16/12/2023,Quality Issue,549,Cash,Refunded
RET00237,ORD0002447,31/01/2023,Changed Mind,781,Vodafone Cash,Refunded
RET00238,ORD0002448,12/07/2022,Defective Product,2440,Cash,Pending
RET00239,ORD0002450,08/02/2023,Size Issue,1139,InstaPay,Refunded
RET00240,ORD0002478,04/10/2022,Changed Mind,50220,Vodafone Cash,Refunded
RET00241,ORD0002489,04/09/2023,Changed Mind,300,Vodafone Cash,Refunded
RET00242,ORD0002516,23/11/2024,Duplicate Order,3070,Vodafone Cash,Refunded
RET00243,ORD0002525,15/12/2023,Quality Issue,128,Vodafone Cash,Refunded
RET00244,ORD0002527,10/01/2022,Duplicate Order,140,Credit Card,Refunded
RET00245,ORD0002529,16/06/2024,Changed Mind,2333,Vodafone Cash,Refunded
RET00246,ORD0002530,01/07/2024,Duplicate Order,1846,Fawry,Refunded
RET00247,ORD0002549,20/02/2022,Wrong Item Delivered,612,Cash,Refunded
RET00248,ORD0002555,23/12/2022,Wrong Item Delivered,1111,Vodafone Cash,Rejected
RET00249,ORD0002580,10/11/2022,Size Issue,2160,Vodafone Cash,Refunded
RET00250,ORD0002588,09/12/2023,Duplicate Order,361,Fawry,Refunded
RET00251,ORD0002592,28/10/2024,Duplicate Order,1904.5,InstaPay,Refunded
RET00252,ORD0002619,26/02/2022,Quality Issue,171,Credit Card,Refunded
RET00253,ORD0002642,24/03/2024,Quality Issue,1390,Debit Card,Refunded
RET00254,ORD0002646,04/04/2023,Duplicate Order,800,Debit Card,Refunded
RET00255,ORD0002650,23/09/2022,Defective Product,1260,Credit Card,Pending
RET00256,ORD0002661,26/04/2022,Wrong Item Delivered,982,Credit Card,Pending
RET00257,ORD0002667,28/05/2024,Quality Issue,1888,Fawry,Refunded
RET00258,ORD0002675,09/07/2022,Wrong Item Delivered,432,Vodafone Cash,Pending
RET00259,ORD0002697,28/10/2024,Defective Product,2360,InstaPay,Refunded
RET00260,ORD0002704,07/10/2024,Size Issue,144,Credit Card,Refunded
RET00261,ORD0002761,15/11/2023,Defective Product,360,Fawry,Refunded
RET00262,ORD0002770,21/04/2023,Quality Issue,861,Debit Card,Refunded
RET00263,ORD0002780,28/11/2022,Changed Mind,280,InstaPay,Refunded
RET00264,ORD0002784,28/01/2024,Wrong Item Delivered,140,Debit Card,Refunded
RET00265,ORD0002787,10/07/2024,Size Issue,1367.5,Credit Card,Refunded
RET00266,ORD0002832,25/01/2024,Defective Product,1581,InstaPay,Refunded
RET00267,ORD0002836,16/12/2024,Changed Mind,13339.5,InstaPay,Refunded
RET00268,ORD0002840,03/11/2024,Changed Mind,1040,Debit Card,Refunded
RET00269,ORD0002846,13/05/2024,Changed Mind,1600,InstaPay,Refunded
RET00270,ORD0002860,13/03/2023,Size Issue,254,Cash,Refunded
RET00271,ORD0002861,07/01/2024,Changed Mind,5302,Credit Card,Rejected
RET00272,ORD0002872,10/08/2023,Defective Product,689,Debit Card,Rejected
RET00273,ORD0002883,27/08/2024,Duplicate Order,9045,Debit Card,Pending
RET00274,ORD0002906,19/03/2023,Size Issue,1054,Credit Card,Refunded
RET00275,ORD0002908,25/09/2023,Changed Mind,780,Fawry,Refunded
RET00276,ORD0002931,31/01/2024,Quality Issue,1180,Vodafone Cash,Refunded
RET00277,ORD0002971,18/03/2023,Wrong Item Delivered,14250,Debit Card,Pending
RET00278,ORD0002983,05/12/2024,Duplicate Order,912,Cash,Refunded
RET00279,ORD0003013,16/06/2022,Quality Issue,674.5,InstaPay,Refunded
RET00280,ORD0003014,07/01/2023,Size Issue,541.5,Debit Card,Refunded
RET00281,ORD0003021,20/10/2023,Defective Product,1244,Cash,Refunded
RET00282,ORD0003024,16/12/2024,Size Issue,413,Credit Card,Refunded
RET00283,ORD0003046,24/12/2024,Size Issue,5864,InstaPay,Refunded
RET00284,ORD0003047,09/05/2024,Quality Issue,15900,Cash,Refunded
RET00285,ORD0003050,31/01/2022,Duplicate Order,954,Cash,Refunded
RET00286,ORD0003051,23/02/2022,Changed Mind,682,Credit Card,Pending
RET00287,ORD0003060,01/09/2023,Size Issue,2513,InstaPay,Pending
RET00288,ORD0003077,23/05/2023,Quality Issue,6689,Debit Card,Refunded
RET00289,ORD0003080,16/12/2024,Wrong Item Delivered,2920,Fawry,Refunded
RET00290,ORD0003092,04/04/2022,Duplicate Order,586,Fawry,Refunded
RET00291,ORD0003105,25/04/2022,Changed Mind,150,Debit Card,Refunded
RET00292,ORD0003111,03/03/2022,Wrong Item Delivered,1043.5,Vodafone Cash,Refunded
RET00293,ORD0003116,11/02/2023,Quality Issue,1269,Credit Card,Refunded
RET00294,ORD0003117,15/11/2024,Size Issue,31110,Debit Card,Refunded
RET00295,ORD0003121,24/06/2022,Quality Issue,648,Fawry,Refunded
RET00296,ORD0003126,17/09/2024,Wrong Item Delivered,765,Cash,Refunded
RET00297,ORD0003128,30/05/2022,Defective Product,210,Cash,Refunded
RET00298,ORD0003135,19/08/2022,Size Issue,501.5,InstaPay,Refunded
RET00299,ORD0003138,30/06/2022,Quality Issue,6459,Debit Card,Pending
RET00300,ORD0003146,25/10/2023,Defective Product,990,InstaPay,Refunded
RET00301,ORD0003147,31/05/2024,Changed Mind,408,Fawry,Refunded
RET00302,ORD0003153,11/12/2024,Duplicate Order,5006.5,Vodafone Cash,Refunded
RET00303,ORD0003159,24/07/2023,Duplicate Order,387,Credit Card,Refunded
RET00304,ORD0003179,11/04/2022,Duplicate Order,160,InstaPay,Refunded
RET00305,ORD0003180,18/01/2023,Quality Issue,418,Cash,Refunded
RET00306,ORD0003209,01/12/2022,Size Issue,1412,Cash,Refunded
RET00307,ORD0003220,30/12/2022,Changed Mind,260,Debit Card,Refunded
RET00308,ORD0003231,06/09/2022,Defective Product,450,Cash,Refunded
RET00309,ORD0003233,27/05/2022,Size Issue,144,Cash,Refunded
RET00310,ORD0003248,30/10/2024,Changed Mind,180,Debit Card,Pending
RET00311,ORD0003275,26/01/2023,Duplicate Order,310,InstaPay,Refunded
RET00312,ORD0003286,15/02/2022,Duplicate Order,280,Cash,Refunded
RET00313,ORD0003294,25/06/2024,Wrong Item Delivered,408,Cash,Refunded
RET00314,ORD0003313,17/10/2024,Defective Product,459.5,Vodafone Cash,Refunded
RET00315,ORD0003318,12/03/2024,Changed Mind,1310,Debit Card,Refunded
RET00316,ORD0003319,20/09/2024,Changed Mind,360,Cash,Refunded
RET00317,ORD0003322,19/02/2024,Wrong Item Delivered,1520,Fawry,Pending
RET00318,ORD0003327,05/08/2024,Defective Product,1088,Vodafone Cash,Refunded
RET00319,ORD0003335,15/05/2023,Duplicate Order,266,InstaPay,Pending
RET00320,ORD0003350,15/07/2023,Duplicate Order,1001,Vodafone Cash,Rejected
RET00321,ORD0003363,30/06/2022,Defective Product,602,Cash,Rejected
RET00322,ORD0003426,02/09/2022,Size Issue,5584,Credit Card,Refunded
RET00323,ORD0003431,18/10/2023,Wrong Item Delivered,288,InstaPay,Refunded
RET00324,ORD0003445,28/09/2024,Duplicate Order,530,Vodafone Cash,Refunded
RET00325,ORD0003456,02/03/2023,Wrong Item Delivered,400,Vodafone Cash,Refunded
RET00326,ORD0003466,28/12/2024,Duplicate Order,45450,Cash,Refunded
RET00327,ORD0003471,30/06/2023,Size Issue,972.5,InstaPay,Refunded
RET00328,ORD0003498,27/04/2022,Wrong Item Delivered,1052,Debit Card,Refunded
RET00329,ORD0003502,04/11/2024,Quality Issue,126,Debit Card,Rejected
RET00330,ORD0003531,18/05/2022,Wrong Item Delivered,18592.5,Credit Card,Rejected
RET00331,ORD0003535,08/01/2023,Wrong Item Delivered,140,Vodafone Cash,Refunded
RET00332,ORD0003546,27/11/2022,Changed Mind,7087,Cash,Refunded
RET00333,ORD0003554,09/06/2024,Wrong Item Delivered,18637,Cash,Pending
RET00334,ORD0003564,23/03/2023,Size Issue,730,Vodafone Cash,Refunded
RET00335,ORD0003573,25/01/2023,Defective Product,26580,InstaPay,Refunded
RET00336,ORD0003590,16/04/2023,Duplicate Order,5900,Fawry,Rejected
RET00337,ORD0003614,05/03/2022,Wrong Item Delivered,3756,Fawry,Refunded
RET00338,ORD0003632,10/09/2024,Changed Mind,2193,Debit Card,Refunded
RET00339,ORD0003638,14/06/2022,Quality Issue,1440,Vodafone Cash,Refunded
RET00340,ORD0003680,21/09/2022,Wrong Item Delivered,600,InstaPay,Refunded
RET00341,ORD0003710,29/04/2024,Wrong Item Delivered,755,Credit Card,Pending
RET00342,ORD0003738,12/07/2024,Size Issue,252,Vodafone Cash,Refunded
RET00343,ORD0003776,29/04/2023,Duplicate Order,300,Credit Card,Rejected
RET00344,ORD0003778,03/03/2024,Wrong Item Delivered,500,InstaPay,Refunded
RET00345,ORD0003791,05/08/2024,Defective Product,1934,Debit Card,Refunded
RET00346,ORD0003795,26/08/2024,Defective Product,473,InstaPay,Refunded
RET00347,ORD0003802,06/08/2022,Size Issue,49106,InstaPay,Refunded
